Image,Width,Ops
random_case_image_10.pbm,32,555
best_case_image_43.pbm,1024,1024
best_case_image_8.pbm,32,32
random_case_image_25.pbm,128,8088
best_case_image_29.pbm,256,256
random_case_image_49.pbm,1024,525986
worst_case_image_23.pbm,128,16384
random_case_image_11.pbm,32,541
random_case_image_24.pbm,128,8243
random_case_image_4.pbm,16,112
random_case_image_27.pbm,128,8286
random_case_image_21.pbm,64,2116
worst_case_image_37.pbm,512,262144
random_case_image_48.pbm,1024,524339
worst_case_image_16.pbm,64,4096
worst_case_image_30.pbm,256,65536
random_case_image_7.pbm,16,133
random_case_image_39.pbm,512,131131
random_case_image_38.pbm,512,131704
random_case_image_6.pbm,16,131
random_case_image_32.pbm,256,33102
random_case_image_13.pbm,32,527
random_case_image_5.pbm,16,129
random_case_image_34.pbm,256,32975
best_case_image_36.pbm,512,512
random_case_image_28.pbm,128,8312
random_case_image_17.pbm,64,2056
random_case_image_3.pbm,16,137
random_case_image_31.pbm,256,32884
random_case_image_46.pbm,1024,523529
random_case_image_33.pbm,256,32966
random_case_image_19.pbm,64,2123
random_case_image_12.pbm,32,546
random_case_image_35.pbm,256,32779
best_case_image_1.pbm,16,16
best_case_image_15.pbm,64,64
random_case_image_41.pbm,512,131011
worst_case_image_44.pbm,1024,1048576
random_case_image_18.pbm,64,2080
random_case_image_20.pbm,64,2061
random_case_image_14.pbm,32,551
random_case_image_42.pbm,512,131551
random_case_image_47.pbm,1024,524824
random_case_image_26.pbm,128,8220
worst_case_image_2.pbm,16,256
random_case_image_40.pbm,512,130869
best_case_image_22.pbm,128,128
random_case_image_45.pbm,1024,523899
worst_case_image_9.pbm,32,1024
